,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
intercept,28980.50197251504,3468.3728128844523,8.355647889078444,4.055998904318627e-11,22017.453003963532,35943.550941066555
const,28980.50197251508,3468.3728128844646,8.355647889078426,4.055998904318889e-11,22017.453003963547,35943.55094106661
Skill_Python (Programming Language),14195.005342126817,6464.580705984642,2.1958122247566134,0.03267960151080161,1216.818034895161,27173.192649358472
Skill_Machine Learning,34248.9818073731,17432.073026327784,1.9647107808489914,0.054907073747748246,-747.3650832430139,69245.32869798921
Skill_Stakeholder Management,20801.56053754662,11617.01049365493,1.7906121845123733,0.07929175620429141,-2520.561189103777,44123.682264197014
Skill_Data Modeling,-19063.051879630624,11362.755427234402,-1.6776786230864433,0.09952887193471084,-41874.73526141459,3748.6315021533446
Skill_Microsoft Excel,-13684.847620898481,8458.43753198167,-1.617893088310407,0.11185462650619443,-30665.869532335215,3296.1742905382544
Skill_Tableau,-12343.226478975965,8089.756019945738,-1.5257847639092033,0.13324163089488245,-28584.08937043386,3897.636412481932
Skill_Analytical Skills,12456.698175428626,8220.445734408526,1.5153312335958027,0.135862417297685,-4046.5352657319727,28959.931616589223
Skill_Business Insights,-16975.057684693347,11205.166387009906,-1.5149313359926944,0.13596348318702695,-39470.367866942965,5520.25249755627
Skill_Artificial Intelligence (AI),-16729.945772279305,11580.224876506672,-1.444699559005983,0.15465857192117938,-39978.21729096181,6518.325746403196
Skill_Mathematics,15731.291191127602,12974.0481743191,1.212519868876871,0.23090045195480674,-10315.197358931222,41777.77974118643
Skill_Statistics,11672.811868824096,9700.853493164286,1.2032767917842848,0.23442520807598335,-7802.46416226421,31148.087899912403
Skill_Data Science,-13029.03801782406,13082.1245978461,-0.9959420521013246,0.3239803573384682,-39292.49904170947,13234.423006061352
Skill_Microsoft Azure,-11752.683811597446,12355.10078278922,-0.9512414360851715,0.34596832655012266,-36556.583623741564,13051.216000546672
Skill_Problem Solving,-12357.24991203161,13844.267293531591,-0.8925896654570693,0.3762693763722402,-40150.77624243997,15436.276418376754
Skill_Statistical Analysis,10885.15970574109,12797.786951951375,0.8505501573521154,0.39899499434604413,-14807.46967495626,36577.78908643844
Skill_Data Visualization,-6948.57214621224,8326.056845269577,-0.8345573751589325,0.40785926979884946,-23663.82873950251,9766.684447078032
Skill_Data Analysis,-4561.551666732637,6233.1045119431155,-0.7318265974832201,0.46762408413954326,-17075.031123592045,7951.927790126771
Skill_Microsoft Power BI,-4644.564691552474,6968.963527572786,-0.666464198467419,0.5081182862822791,-18635.342765430596,9346.213382325648
Skill_Data Management,-10043.030778212466,17833.816241701305,-0.5631453549873734,0.5758035065462299,-45845.91082784696,25759.849271422027
Skill_Business Intelligence (BI),5953.020057597239,10718.09296334465,0.5554178413973712,0.581037187842246,-15564.449424349843,27470.489539544324
Skill_SQL,2697.0463965573504,5925.506753754602,0.4551587752133453,0.6509268258453564,-9198.904793177262,14592.997586291964
Skill_Analytics,-1960.1907149207382,10034.234094315756,-0.1953503074072347,0.8458949304757573,-22104.756230218867,18184.374800377394
Skill_Data Analytics,1101.3729592572217,6653.852715763207,0.16552409653553515,0.869185893003012,-12256.793762980942,14459.539681495386
Skill_Marketing Mix Modeling,-2155.9771428930108,14082.517450190751,-0.15309600364555612,0.8789267065018358,-30427.81062108551,26115.85633529949
Skill_R (Programming Language),-1486.700015557226,11989.289806127763,-0.12400234205677212,0.9018008651575166,-25556.203647952418,22582.803616837962
Skill_Dashboards,-867.1409054220305,10412.978641350333,-0.08327501047381208,0.9339588743841652,-21772.067826442402,20037.78601559834
Skill_Customer Data,-858.5506939975394,14856.823827174,-0.05778830684033555,0.9541430807850686,-30684.869087873663,28967.767699878586
