JobID,Salary,Skill_Analytical Skills,Skill_Data Analysis,Skill_Data Analytics,Skill_Data Science,Skill_Data Visualization,Skill_Microsoft Excel,Skill_Microsoft Power BI,Skill_Python (Programming Language),Skill_SQL,Skill_Tableau
1,55000.0,1,1,1,0,0,0,0,0,0,0
3,57500.0,0,0,1,0,0,0,0,1,1,0
4,35092.5,0,1,1,0,0,0,1,0,0,0
6,37500.0,0,0,0,0,0,0,1,1,1,1
10,50000.0,0,1,1,0,0,1,0,0,0,0
12,90000.0,0,0,0,0,0,0,1,1,1,1
15,60000.0,1,1,1,0,0,0,0,1,0,0
16,29500.0,0,1,0,0,0,0,1,0,0,0
17,65000.0,1,1,1,0,1,0,1,0,0,0
18,34000.0,1,1,0,0,0,0,0,0,0,0
19,52500.0,0,0,0,0,0,0,0,1,0,0
20,120000.0,0,1,0,1,0,0,0,1,1,0
22,90000.0,0,0,0,1,0,0,0,0,0,0
24,40000.0,0,0,0,1,0,0,0,0,0,0
25,82500.0,0,1,0,1,1,0,0,0,0,0
26,57500.0,0,0,0,1,1,0,0,1,1,1
27,40000.0,0,1,1,0,1,1,1,1,1,1
29,30000.0,1,0,0,0,0,1,0,0,0,0
31,65000.0,1,1,0,0,1,0,0,1,1,1
32,65000.0,0,1,0,0,0,0,1,1,1,0
33,55000.0,0,1,0,0,0,0,0,0,1,0
36,70000.0,0,0,0,0,0,0,0,0,1,0
37,47500.0,1,1,0,0,0,1,0,0,0,0
38,65000.0,0,0,0,0,0,0,0,1,1,1
39,47500.0,0,0,1,0,1,0,1,0,0,1
40,48700.0,1,1,1,1,1,0,0,0,0,0
42,65000.0,0,1,1,0,0,0,0,1,0,0
45,75000.0,0,0,0,0,0,0,0,1,1,0
47,53500.0,0,0,0,1,0,0,0,1,0,0
50,62500.0,0,0,0,0,0,0,0,1,1,0
51,40000.0,0,0,0,0,0,0,0,0,0,1
52,73040.0,0,0,0,0,0,0,0,0,2,1
55,50000.0,1,1,0,0,0,0,0,0,0,0
57,38000.0,0,0,1,0,0,0,1,0,0,0
60,38500.0,0,1,1,0,0,0,0,0,0,0
61,35000.0,0,1,0,1,0,0,0,1,0,0
62,55000.0,0,0,0,0,0,0,1,0,0,0
63,45000.0,1,0,1,0,1,0,0,0,1,0
64,36500.0,0,0,0,0,0,1,0,0,0,0
66,41400.0,1,0,0,0,0,1,1,0,0,0
67,41750.0,0,0,1,0,0,0,1,1,1,0
69,36500.0,0,0,0,0,0,1,0,0,0,0
70,35600.0,0,0,0,0,0,0,1,0,1,0
71,70000.0,0,1,0,1,0,0,0,1,0,0
73,67500.0,0,1,1,0,0,0,1,0,0,0
75,40000.0,0,0,1,0,0,0,0,0,0,0
81,60000.0,0,0,0,0,0,0,0,1,1,1
86,137500.0,0,0,0,0,0,0,0,1,0,0
88,27252.0,0,1,0,0,1,0,0,1,0,0
89,38700.0,1,1,0,0,0,1,0,1,0,1
91,52500.0,0,0,0,0,0,0,1,1,0,0
92,57500.0,0,1,0,0,0,0,0,1,0,0
96,53500.0,1,0,1,0,0,0,1,0,1,1
97,45000.0,0,0,1,0,1,0,1,0,0,1
98,43000.0,0,0,1,0,0,0,0,0,1,1
100,55000.0,0,0,0,0,1,0,1,1,0,1
102,140000.0,1,0,0,0,0,0,0,1,0,0
105,70000.0,0,0,0,0,0,0,0,0,1,0
106,62000.0,0,0,0,0,0,0,0,1,0,0
108,115000.0,0,1,0,0,0,0,0,1,0,0
110,65000.0,1,0,0,0,0,0,0,0,0,0
116,82500.0,0,1,1,0,0,1,0,1,1,0
117,47750.0,0,1,0,0,1,0,0,0,1,0
118,44000.0,0,1,1,0,0,0,1,1,1,1
119,50000.0,1,1,0,0,0,0,1,1,1,1
120,62500.0,1,0,1,0,0,1,0,0,0,0
121,57500.0,0,0,0,0,0,0,1,0,1,0
122,72500.0,0,0,1,0,0,0,0,0,0,0
124,60000.0,0,1,0,0,0,0,0,0,1,0
132,72500.0,0,0,0,0,0,0,0,0,1,0
133,51000.0,0,0,0,0,0,0,1,0,0,0
134,60300.0,1,1,1,1,1,0,0,0,0,0
135,63900.0,1,1,1,1,1,0,0,0,0,0
143,85000.0,0,1,0,0,0,0,1,1,1,1
144,47500.0,0,0,0,0,0,0,0,0,1,0
146,35000.0,1,1,0,0,0,1,0,0,0,0
161,117500.0,0,0,1,1,0,0,0,1,1,0
164,60000.0,0,0,0,0,0,0,1,0,0,1
165,80000.0,0,0,0,0,0,0,0,0,1,0
168,60000.0,0,0,0,0,0,0,0,0,1,1
